Time,Pod 1,Pod 2,Pod 3,Pod 4,Pod 5,avg
2019-08-05T13:56:30+01:00,null,487993344,null,544976896,null,516485120
2019-08-05T13:56:45+01:00,null,487993344,null,544976896,null,516485120
2019-08-05T13:57:00+01:00,null,488157184,null,545001472,null,516579328
2019-08-05T13:57:15+01:00,null,488157184,null,545001472,null,516579328
2019-08-05T13:57:30+01:00,null,488046592,null,545034240,null,516540416
2019-08-05T13:57:45+01:00,null,488046592,null,545034240,null,516540416
2019-08-05T13:58:00+01:00,null,488083456,null,545062912,null,516573184
2019-08-05T13:58:15+01:00,null,488083456,null,545062912,null,516573184
2019-08-05T13:58:30+01:00,null,488116224,null,545083392,null,516599808
2019-08-05T13:58:45+01:00,null,488116224,null,545083392,null,516599808
2019-08-05T13:59:00+01:00,null,488140800,null,545107968,null,516624384
2019-08-05T13:59:15+01:00,null,488140800,null,545107968,null,516624384
2019-08-05T13:59:30+01:00,null,488169472,null,545140736,null,516655104
2019-08-05T13:59:45+01:00,null,488169472,null,545140736,null,516655104
2019-08-05T14:00:00+01:00,null,488194048,null,545173504,null,516683776
2019-08-05T14:00:15+01:00,null,488194048,null,545173504,null,516683776
2019-08-05T14:00:30+01:00,null,489332736,null,442396672,null,465864704
2019-08-05T14:00:45+01:00,null,489332736,null,442396672,null,465864704
2019-08-05T14:01:00+01:00,null,365711360,null,393814016,null,379762688
2019-08-05T14:01:15+01:00,null,365711360,null,393814016,null,379762688
2019-08-05T14:01:30+01:00,null,365744128,null,393834496,null,379789312
2019-08-05T14:01:45+01:00,null,365744128,null,393834496,null,379789312
2019-08-05T14:02:00+01:00,null,365772800,null,393867264,null,379820032
2019-08-05T14:02:15+01:00,null,365772800,null,393867264,null,379820032
2019-08-05T14:02:30+01:00,null,365801472,null,393883648,null,379842560
2019-08-05T14:02:45+01:00,null,365801472,null,393883648,null,379842560
2019-08-05T14:03:00+01:00,null,365830144,null,393912320,null,379871232
2019-08-05T14:03:15+01:00,null,365830144,null,393912320,null,379871232
2019-08-05T14:03:30+01:00,null,365854720,null,394084352,null,379969536
2019-08-05T14:03:45+01:00,null,365854720,null,394084352,null,379969536
2019-08-05T14:04:00+01:00,null,366022656,null,393965568,null,379994112
2019-08-05T14:04:15+01:00,null,366022656,null,393965568,null,379994112
2019-08-05T14:04:30+01:00,null,365936640,null,394002432,null,379969536
2019-08-05T14:04:45+01:00,null,365936640,null,394002432,null,379969536
2019-08-05T14:05:00+01:00,null,365965312,null,394035200,null,380000256
2019-08-05T14:05:15+01:00,null,365965312,null,394035200,null,380000256
2019-08-05T14:05:30+01:00,null,365993984,null,394072064,null,380033024
2019-08-05T14:05:45+01:00,null,365993984,null,394072064,null,380033024
2019-08-05T14:06:00+01:00,null,366043136,null,394215424,null,380129280
2019-08-05T14:06:15+01:00,null,366043136,null,394215424,null,380129280
2019-08-05T14:06:30+01:00,null,366055424,null,394117120,null,380086272
2019-08-05T14:06:45+01:00,null,366055424,null,394117120,null,380086272
2019-08-05T14:07:00+01:00,null,null,null,394145792,null,394145792
2019-08-05T14:07:15+01:00,null,null,null,394145792,null,394145792
2019-08-05T14:07:30+01:00,null,null,null,394301440,null,394301440
2019-08-05T14:07:45+01:00,null,null,null,394301440,null,394301440
2019-08-05T14:08:00+01:00,null,null,null,394207232,null,394207232
